ITR,FILE_NAME,FSCORE,PRECISION,RECALL,ACCURACY,SK_THRESHOLD,ALPHA,ORIG_CONTRIB,SEG_THRESHOLD
78,16_test.tif,0.624,0.98,0.458,0.95,60,7,0.7,10
79,16_test.tif,0.594,0.981,0.426,0.947,60,8,0.7,10
80,16_test.tif,0.672,0.54,0.89,0.922,60,7,0.7,24
81,16_test.tif,0.751,0.671,0.852,0.949,60,7,0.7,22
82,16_test.tif,0.795,0.87,0.731,0.966,60,7,0.7,18
83,16_test.tif,0.647,0.976,0.483,0.952,60,8,0.7,16
84,16_test.tif,0.622,0.98,0.456,0.95,60,8,0.7,14
85,16_test.tif,0.768,0.921,0.658,0.964,60,7,0.7,16
86,16_test.tif,0.797,0.879,0.73,0.967,60,8,0.3,22
87,16_test.tif,0.772,0.697,0.865,0.954,60,7,0.3,24
88,16_test.tif,0.795,0.792,0.798,0.963,60,7,0.7,20
89,16_test.tif,0.808,0.83,0.787,0.966,60,7,0.3,18
90,16_test.tif,0.794,0.897,0.713,0.967,60,7,0.3,14
91,16_test.tif,0.66,0.976,0.499,0.954,60,8,0.3,10
92,16_test.tif,0.803,0.86,0.752,0.967,60,8,0.3,24
93,16_test.tif,0.667,0.973,0.508,0.954,60,7,0.7,12
94,16_test.tif,0.71,0.959,0.564,0.958,60,8,0.7,20
95,16_test.tif,0.804,0.789,0.819,0.964,60,7,0.3,20
96,16_test.tif,0.777,0.92,0.672,0.965,60,8,0.3,18
97,13_test.tif,0.653,0.958,0.496,0.949,60,8,0.3,14
98,13_test.tif,0.749,0.879,0.652,0.957,60,7,0.3,16
99,13_test.tif,0.617,0.951,0.456,0.945,60,8,0.7,18
100,13_test.tif,0.668,0.908,0.529,0.949,60,8,0.7,22
101,13_test.tif,0.551,0.975,0.384,0.939,60,8,0.7,12
102,13_test.tif,0.659,0.956,0.502,0.949,60,7,0.3,10
103,13_test.tif,0.692,0.884,0.569,0.95,60,8,0.7,24
104,13_test.tif,0.724,0.915,0.6,0.955,60,8,0.3,20
105,13_test.tif,0.701,0.935,0.561,0.953,60,7,0.3,12
106,13_test.tif,0.683,0.946,0.535,0.952,60,8,0.3,16
107,13_test.tif,0.76,0.768,0.752,0.953,60,7,0.3,22
108,13_test.tif,0.652,0.921,0.504,0.947,60,7,0.7,14
109,13_test.tif,0.617,0.967,0.453,0.945,60,8,0.3,12
110,13_test.tif,0.57,0.97,0.403,0.94,60,7,0.7,10
111,13_test.tif,0.533,0.978,0.367,0.937,60,8,0.7,10
112,13_test.tif,0.623,0.512,0.797,0.906,60,7,0.7,24
113,13_test.tif,0.682,0.626,0.749,0.932,60,7,0.7,22
114,13_test.tif,0.717,0.826,0.634,0.951,60,7,0.7,18
115,13_test.tif,0.592,0.963,0.427,0.942,60,8,0.7,16
116,13_test.tif,0.569,0.969,0.403,0.94,60,8,0.7,14
117,13_test.tif,0.693,0.884,0.57,0.951,60,7,0.7,16
118,13_test.tif,0.74,0.898,0.629,0.957,60,8,0.3,22
119,13_test.tif,0.748,0.719,0.779,0.949,60,7,0.3,24
120,13_test.tif,0.715,0.735,0.697,0.946,60,7,0.7,20
121,13_test.tif,0.758,0.844,0.687,0.957,60,7,0.3,18
122,13_test.tif,0.731,0.91,0.611,0.956,60,7,0.3,14
123,13_test.tif,0.582,0.974,0.415,0.942,60,8,0.3,10
124,13_test.tif,0.749,0.879,0.652,0.957,60,8,0.3,24
125,13_test.tif,0.609,0.957,0.447,0.944,60,7,0.7,12
126,13_test.tif,0.643,0.928,0.492,0.947,60,8,0.7,20
127,13_test.tif,0.761,0.809,0.719,0.956,60,7,0.3,20
128,13_test.tif,0.707,0.93,0.57,0.954,60,8,0.3,18
129,14_test.tif,0.749,0.833,0.68,0.963,60,8,0.3,14
130,14_test.tif,0.762,0.718,0.811,0.959,60,7,0.3,16
131,14_test.tif,0.749,0.758,0.74,0.96,60,8,0.7,18
132,14_test.tif,0.733,0.66,0.824,0.951,60,8,0.7,22
133,14_test.tif,0.683,0.877,0.56,0.958,60,8,0.7,12
134,14_test.tif,0.748,0.834,0.679,0.963,60,7,0.3,10
135,14_test.tif,0.698,0.592,0.85,0.941,60,8,0.7,24
136,14_test.tif,0.766,0.762,0.771,0.962,60,8,0.3,20
137,14_test.tif,0.763,0.8,0.73,0.963,60,7,0.3,12
138,14_test.tif,0.759,0.811,0.713,0.963,60,8,0.3,16
139,14_test.tif,0.692,0.569,0.884,0.936,60,7,0.3,22
140,14_test.tif,0.741,0.694,0.795,0.955,60,7,0.7,14
141,14_test.tif,0.731,0.854,0.638,0.962,60,8,0.3,12
142,14_test.tif,0.722,0.845,0.63,0.961,60,7,0.7,10
143,14_test.tif,0.641,0.901,0.498,0.955,60,8,0.7,10
144,14_test.tif,0.373,0.233,0.945,0.743,60,7,0.7,24
145,14_test.tif,0.438,0.287,0.933,0.807,60,7,0.7,22
146,14_test.tif,0.623,0.48,0.888,0.913,60,7,0.7,18
147,14_test.tif,0.74,0.8,0.688,0.961,60,8,0.7,16
148,14_test.tif,0.721,0.843,0.63,0.961,60,8,0.7,14
149,14_test.tif,0.694,0.586,0.852,0.939,60,7,0.7,16
150,14_test.tif,0.765,0.739,0.793,0.961,60,8,0.3,22
151,14_test.tif,0.656,0.516,0.9,0.924,60,7,0.3,24
152,14_test.tif,0.525,0.368,0.916,0.866,60,7,0.7,20
153,14_test.tif,0.749,0.677,0.839,0.955,60,7,0.3,18
154,14_test.tif,0.766,0.756,0.777,0.962,60,7,0.3,14
155,14_test.tif,0.704,0.876,0.589,0.96,60,8,0.3,10
156,14_test.tif,0.761,0.716,0.812,0.959,60,8,0.3,24
157,14_test.tif,0.745,0.773,0.719,0.96,60,7,0.7,12
158,14_test.tif,0.745,0.709,0.785,0.957,60,8,0.7,20
159,14_test.tif,0.724,0.624,0.863,0.947,60,7,0.3,20
160,14_test.tif,0.764,0.786,0.744,0.963,60,8,0.3,18
161,19_test.tif,0.845,0.865,0.827,0.975,60,8,0.3,14
162,19_test.tif,0.793,0.707,0.903,0.961,60,7,0.3,16
163,19_test.tif,0.758,0.643,0.922,0.951,60,8,0.7,18
164,19_test.tif,0.631,0.473,0.95,0.908,60,8,0.7,22
165,19_test.tif,0.848,0.855,0.841,0.975,60,8,0.7,12
166,19_test.tif,0.845,0.865,0.826,0.975,60,7,0.3,10
167,19_test.tif,0.54,0.376,0.958,0.865,60,8,0.7,24
168,19_test.tif,0.822,0.773,0.879,0.969,60,8,0.3,20
169,19_test.tif,0.836,0.814,0.858,0.972,60,7,0.3,12
170,19_test.tif,0.84,0.833,0.848,0.973,60,8,0.3,16
171,19_test.tif,0.67,0.519,0.945,0.923,60,7,0.3,22
172,19_test.tif,0.657,0.504,0.944,0.918,60,7,0.7,14
173,19_test.tif,0.841,0.892,0.796,0.975,60,8,0.3,12
174,19_test.tif,0.828,0.785,0.877,0.97,60,7,0.7,10
175,19_test.tif,0.84,0.913,0.778,0.975,60,8,0.7,10
176,19_test.tif,0.271,0.157,0.984,0.561,60,7,0.7,24
177,19_test.tif,0.298,0.176,0.981,0.617,60,7,0.7,22
