ID,EPOCH,BATCH,PRECISION,RECALL,F1,ACCURACY,LOSS
0,1,1,0.06468,0.28202,0.10523,0.4606,0.8640364408493042
0,1,2,0.25069,0.82078,0.38408,0.71432,0.6642498970031738
0,1,3,0.41163,0.79358,0.54208,0.82142,0.48303282260894775
0,1,4,0.48174,0.75034,0.58676,0.89341,0.4305010735988617
0,1,5,0.46933,0.70938,0.56491,0.91548,0.3773505985736847
0,1,6,0.64738,0.6377,0.6425,0.92973,0.3491714894771576
0,1,7,0.77828,0.62132,0.691,0.93272,0.35105469822883606
0,1,8,0.66672,0.67335,0.67002,0.94153,0.43042680621147156
0,1,9,0.57291,0.76047,0.6535,0.92188,0.2518485188484192
0,1,10,0.56167,0.7853,0.65492,0.922,0.24516895413398743
0,1,11,0.60859,0.68335,0.6438,0.90499,0.3756663203239441
0,1,12,0.64389,0.6854,0.664,0.91298,0.22858835756778717
0,1,13,0.72337,0.79094,0.75564,0.94367,0.17078819870948792
0,1,14,0.63027,0.78819,0.70044,0.92751,0.39890047907829285
0,1,15,0.51887,0.71596,0.60169,0.8854,0.22947101294994354
0,1,16,0.62459,0.79527,0.69968,0.91958,0.250428169965744
0,1,17,0.78351,0.72501,0.75312,0.9344,0.3347489833831787
0,1,18,0.64295,0.63813,0.64053,0.90446,0.5271158218383789
0,1,19,0.63221,0.77068,0.69461,0.92479,0.24147698283195496
0,1,20,0.66641,0.73095,0.69719,0.92026,0.21930961310863495
0,1,21,0.77602,0.78059,0.7783,0.936,0.184761643409729
0,1,22,0.5875,0.77607,0.66875,0.91077,0.3632459044456482
0,1,23,0.63284,0.8106,0.71077,0.93091,0.19852657616138458
0,1,24,0.46718,0.76522,0.58016,0.88994,0.26467224955558777
0,1,25,0.71294,0.80413,0.7558,0.92811,0.21473200619220734
0,1,26,0.59066,0.75955,0.66454,0.93746,0.24331997334957123
0,1,27,0.58142,0.75233,0.65593,0.94595,0.1960410475730896
0,1,28,0.76077,0.72066,0.74017,0.95456,0.32894834876060486
0,1,29,0.81096,0.72842,0.76748,0.95375,0.1706039011478424
0,1,30,0.75308,0.72694,0.73978,0.95274,0.12172021716833115
0,1,31,0.72338,0.73512,0.7292,0.94356,0.2053622007369995
0,1,32,0.70518,0.75188,0.72778,0.94217,0.24560561776161194
0,1,33,0.79651,0.61218,0.69228,0.93053,0.20543348789215088
0,1,34,0.723,0.73592,0.72941,0.94631,0.2643789052963257
0,1,35,0.67448,0.76923,0.71875,0.93975,0.16957126557826996
0,1,36,0.72362,0.74243,0.73291,0.93998,0.18855582177639008
0,1,37,0.71484,0.6717,0.6926,0.93207,0.21378889679908752
0,1,38,0.82611,0.67061,0.74028,0.93481,0.4247806966304779
0,1,39,0.7465,0.77997,0.76287,0.94669,0.17452281713485718
0,1,40,0.7777,0.80844,0.79277,0.93637,0.33823999762535095
0,1,41,0.67085,0.8662,0.75611,0.94196,0.15075069665908813
0,1,42,0.55424,0.79573,0.65338,0.88723,0.3927718698978424
0,1,43,0.58643,0.83316,0.68835,0.91231,0.21349604427814484
0,1,44,0.51468,0.91375,0.65847,0.90736,0.23728816211223602
0,1,45,0.54026,0.86353,0.66468,0.91643,0.2002781182527542
0,1,46,0.58005,0.84078,0.68649,0.92622,0.1960698366165161
0,1,47,0.77868,0.8037,0.79099,0.93927,0.2087559551000595
0,1,48,0.64391,0.76793,0.70047,0.95011,0.16761964559555054
0,1,49,0.63105,0.74395,0.68287,0.9385,0.167909637093544
0,1,50,0.81801,0.67186,0.73777,0.94069,0.16665369272232056
0,1,51,0.80678,0.73123,0.76715,0.95334,0.10383497923612595
0,1,52,0.86848,0.64643,0.74118,0.94832,0.14125601947307587
0,1,53,0.88371,0.6274,0.73382,0.95534,0.17092858254909515
0,1,54,0.8349,0.55226,0.66479,0.94548,0.1580389142036438
0,1,55,0.88433,0.63657,0.74027,0.95451,0.16466856002807617
0,1,56,0.84436,0.56196,0.6748,0.93804,0.27477535605430603
0,1,57,0.84907,0.62546,0.72031,0.94379,0.3842126131057739
0,1,58,0.81381,0.64451,0.71933,0.94954,0.10508383810520172
0,1,59,0.78096,0.70799,0.74269,0.94618,0.12475637346506119
0,1,60,0.7903,0.7219,0.75455,0.94901,0.5136029124259949
0,1,61,0.75683,0.75416,0.75549,0.93928,0.22276942431926727
0,1,62,0.8205,0.76129,0.78979,0.94854,0.11879603564739227
0,1,63,0.77078,0.73226,0.75103,0.94783,0.12113974243402481
0,1,64,0.70237,0.80294,0.7493,0.94499,0.13950443267822266
0,1,65,0.71705,0.72545,0.72122,0.93956,0.17388316988945007
0,1,66,0.70459,0.81128,0.75418,0.93951,0.14888988435268402
0,1,67,0.72945,0.82791,0.77557,0.94279,0.13161242008209229
0,2,1,0.74083,0.79869,0.76867,0.94475,0.15638263523578644
0,2,2,0.67702,0.77294,0.72181,0.93637,0.16255615651607513
0,2,3,0.74981,0.78157,0.76536,0.94969,0.13298766314983368
0,2,4,0.66967,0.67462,0.67213,0.93428,0.18283264338970184
0,2,5,0.61819,0.76536,0.68395,0.93059,0.1750086545944214
0,2,6,0.79457,0.71749,0.75407,0.94898,0.33103427290916443
0,2,7,0.77681,0.71366,0.74389,0.95138,0.12217122316360474
0,2,8,0.81283,0.70981,0.75784,0.94254,0.09755804389715195
0,2,9,0.81456,0.54888,0.65583,0.92762,0.28536102175712585
0,2,10,0.86836,0.63217,0.73168,0.93894,0.12911206483840942
0,2,11,0.86788,0.64016,0.73683,0.93931,0.2608349025249481
0,2,12,0.80743,0.63993,0.71399,0.95801,0.22921471297740936
0,2,13,0.81111,0.69416,0.74809,0.95162,0.12070505321025848
0,2,14,0.74362,0.59438,0.66068,0.92323,0.4471462666988373
0,2,15,0.82713,0.76424,0.79444,0.95739,0.09308652579784393
0,2,16,0.77066,0.7808,0.77569,0.94563,0.13083943724632263
0,2,17,0.79143,0.77303,0.78213,0.94844,0.09929285943508148
0,2,18,0.87088,0.70611,0.77989,0.94264,0.1097378134727478
0,2,19,0.65784,0.74916,0.70054,0.95627,0.1319291591644287
0,2,20,0.79962,0.78704,0.79328,0.95074,0.09042137116193771
0,2,21,0.81399,0.75006,0.78072,0.94955,0.11707542091608047
0,2,22,0.79401,0.73349,0.76255,0.94821,0.14462189376354218
0,2,23,0.77575,0.73912,0.75699,0.9493,0.16894635558128357
0,2,24,0.7541,0.7139,0.73344,0.96088,0.09368716925382614
0,2,25,0.75417,0.71151,0.73222,0.95416,0.12330573052167892
0,2,26,0.71802,0.63195,0.67224,0.9246,0.30639323592185974
